"j_nr";"report_id";"accounts_expenses_fee_total";"accounts_expenses_accommodation";"accounts_expenses_meals";"accounts_expenses_pr";"accounts_expenses_backline";"accounts_expenses_local_transport";"accounts_expenses_international_transport";"accounts_expenses_other";"accounts_expenses_total";"accounts_income_fee_total";"accounts_income_grants";"accounts_income_funds";"accounts_income_merchandise";"accounts_income_own_contribution";"accounts_income_other";"accounts_income_estimated_total";"accounts_result";"accounts_comments";"evaluation_further_opportunities";"evaluation_artistic_development";"evaluation_satisfaction"
"T-2024-0053";"T-2024-0053-RE1";30000;17769;13563;0;0;0;31368;15000;107700;45000;0;35000;2000;25700;0;107700;0;"Angående fondsindtægter - vi har (som skrevet i budgettet) anvendt 15.000 kr. af vores driftstøtte fra Statens Kunstfond til turen, og derudover har vi fået 20.000 kr. fra den internationale transportstøtte. Angående ""andet"", så dækker de 15.000 over visumudgifter (som i budgettet). ";"I meget høj grad";"I høj grad";"I høj grad"
"T-2024-0057";"T-2024-0057-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I høj grad"
"T-2024-0061";"T-2024-0061-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I meget høj grad"
"T-2024-0063";"T-2024-0063-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I høj grad"
"T-2024-0065";"T-2024-0065-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I høj grad"
"T-2024-0066";"T-2024-0066-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I meget høj grad"
"T-2024-0069";"T-2024-0069-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I høj grad"
"T-2024-0070";"T-2024-0070-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I høj grad"
"T-2024-0073";"T-2024-0073-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I høj grad"
"T-2024-0077";"T-2024-0077-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I mindre grad";"I høj grad"
"T-2024-0078";"T-2024-0078-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I høj grad";"I høj grad"
"T-2024-0080";"T-2024-0080-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"T-2024-0081";"T-2024-0081-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"Ved ikke";"I høj grad"
"T-2024-0082";"T-2024-0082-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"Ved ikke";"I meget høj grad"
"T-2024-0084";"T-2024-0084-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I høj grad"
"T-2024-0090";"T-2024-0090-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ved ikke";"I høj grad";"I høj grad"
"T-2024-0092";"T-2024-0092-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I høj grad"
"T-2024-0099";"T-2024-0099-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I meget høj grad"
"T-2024-0103";"T-2024-0103-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I meget høj grad"
