"j_nr";"report_id";"accounts_expenses_fee_total";"accounts_expenses_accommodation";"accounts_expenses_meals";"accounts_expenses_pr";"accounts_expenses_backline";"accounts_expenses_local_transport";"accounts_expenses_international_transport";"accounts_expenses_other";"accounts_expenses_total";"accounts_income_fee_total";"accounts_income_grants";"accounts_income_funds";"accounts_income_merchandise";"accounts_income_own_contribution";"accounts_income_other";"accounts_income_estimated_total";"accounts_result";"accounts_comments";"evaluation_further_opportunities";"evaluation_artistic_development";"evaluation_satisfaction"
"R-2024-0026";"R-2024-0026-RE1";0;0;212;500;0;1724;3482;7431;13349;1043;0;0;4500;3500;0;9043;4306;"Jeg tror, at vi har kommet til at regne den samlede indtægts- og udgiftsmængde ud for begge bands i ansøgningen. Jeg har nu skilt dem ad og indtægterne og udgifterne i det nye regnskab tilhører kun Kollapse. Kvitteringer vil derfor løbe op til en højere udgift end angivet, men det er fordi Kollapse kun har betalt halvdelen af de internationale udgifter";"I meget høj grad";"I høj grad";"I meget høj grad"
"R-2024-0027";"R-2024-0027-RE1";0;1185;665;0;0;0;5565;0;7415;4862;0;0;0;0;0;4862;2553;"-";"I høj grad";"I høj grad";"I meget høj grad"
"R-2024-0029";"R-2024-0029-RE1";0;2146;0;0;0;3667;52002;0;57815;15711;0;10000;0;0;30000;55711;2104;"Vi fik desværre kun bevilling fra ROSA, selvom vi søgte mange andre fonde. Til gengæld dækker den grønlandske festival en del af underskuddet. ";"I høj grad";"Ved ikke";"I høj grad"
"R-2024-0036";"R-2024-0036-RE1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-";"I høj grad";"I høj grad";"I høj grad"
"R-2024-0041";"R-2024-0041-RE1";0;0;3242;0;0;79;4003;0;7324;14920;0;0;0;0;0;14920;-7596;"-";"I høj grad";"I meget høj grad";"Ved ikke"
"R-2024-0046";"R-2024-0046-RE1";114000;28516;0;0;39074;0;201877;50727;434194;107536;0;1e+05;66000;0;0;273536;160658;"Nederste felt er indkøb af merchandise. Støtte fået af MXD udover rosa. ";"I meget høj grad";"I meget høj grad";"I høj grad"
"R-2024-0056";"R-2024-0056-RE1";122023;0;0;8263;0;3239;162495;109293;405313;51014;70000;12500;186120;0;0;319634;85679;"INDTÆGER Legater: 70000 DKK fra MXD Fondsbevillinger: 12.500 DKK fra ROSA   UDGIFTER Andet: Produktion og fragt af merchandise i USA ";"I høj grad";"I høj grad";"I høj grad"
"R-2024-0059";"R-2024-0059-RE1";0;2500;2000;0;0;200;9280;0;13980;5000;5000;0;0;3980;0;13980;0;"-";"I høj grad";"I høj grad";"I høj grad"
"R-2024-0071";"R-2024-0071-RE1";36000;10000;3000;0;8000;0;20000;0;77000;55061;0;0;0;0;0;55061;21939;"-";"I høj grad";"I høj grad";"I høj grad"
"R-2024-0072";"R-2024-0072-RE1";13170;2115;2114;0;0;0;3214;0;20613;15805;0;0;0;0;0;15805;4808;"-";"I høj grad";"Ved ikke";"I høj grad"
"R-2024-0081";"R-2024-0081-RE1";0;7917;752;0;0;0;24068;0;32737;6567;0;0;5002;21168;0;32737;0;"-";"I meget høj grad";"I høj grad";"I høj grad"
"R-2024-0084";"R-2024-0084-RE1";0;12095;6171;5405;2317;825;19591;5878;52282;43343;0;0;16759;0;0;60102;-7820;"Andet: Booking agent fee: DKK 5878";"I meget høj grad";"I høj grad";"I meget høj grad"
"R-2024-0112";"R-2024-0112-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I mindre grad";"I meget høj grad"
"R-2024-0115";"R-2024-0115-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I meget høj grad";"I høj grad"
"R-2024-0118";"R-2024-0118-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"Ved ikke";"I meget høj grad"
"R-2024-0120";"R-2024-0120-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"R-2024-0126";"R-2024-0126-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I høj grad"
"R-2024-0128";"R-2024-0128-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ved ikke";"I mindre grad";"I meget høj grad"
