"j_nr";"participant_group_id";"participant_gender_group";"participant_age_under18";"participant_age_18_24";"participant_age_25_29";"participant_age_30_39";"participant_age_40_49";"participant_age_50_59";"participant_age_60_over"
"A-2023-0117";"A-2023-0117-PG1";"Mænd";0;0;0;1;1;0;0
"A-2023-0118";"A-2023-0118-PG1";"Mænd";0;0;2;3;0;0;0
"A-2023-0118";"A-2023-0118-PG2";"Kvinder";0;0;3;3;0;0;0
"A-2023-0119";"A-2023-0119-PG1";"Kvinder";0;0;0;1;0;0;0
"A-2023-0120";"A-2023-0120-PG1";"Kvinder";0;1;0;0;0;0;0
"A-2023-0121";"A-2023-0121-PG1";"Kvinder";0;0;0;0;1;0;1
"A-2023-0122";"A-2023-0122-PG1";"Mænd";0;0;0;2;5;3;2
"A-2023-0122";"A-2023-0122-PG2";"Kvinder";0;0;0;5;5;2;0
"A-2023-0123";"A-2023-0123-PG1";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2023-0124";"A-2023-0124-PG1";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2023-0125";"A-2023-0125-PG1";"Mænd";0;0;1;1;0;0;0
"A-2023-0125";"A-2023-0125-PG2";"Kvinder";0;0;0;1;2;0;0
"A-2023-0126";"A-2023-0126-PG1";"Mænd";0;0;0;0;0;0;0
"A-2023-0126";"A-2023-0126-PG2";"Kvinder";0;0;0;3;0;0;0
"A-2023-0129";"A-2023-0129-PG1";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2023-0130";"A-2023-0130-PG1";"Mænd";0;0;0;0;2;0;0
"A-2023-0130";"A-2023-0130-PG2";"Kvinder";0;0;0;0;8;0;0
"A-2023-0131";"A-2023-0131-PG1";"Mænd";0;0;0;1;1;1;0
"A-2023-0131";"A-2023-0131-PG2";"Kvinder";0;0;0;2;1;0;0
"A-2023-0132";"A-2023-0132-PG1";"Mænd";0;0;0;1;1;0;2
"A-2023-0132";"A-2023-0132-PG2";"Kvinder";0;1;0;1;0;2;0
"A-2023-0133";"A-2023-0133-PG1";"Mænd";0;0;1;0;0;0;0
"A-2023-0134";"A-2023-0134-PG1";"Mænd";0;0;0;1;1;0;0
"A-2023-0134";"A-2023-0134-PG2";"Kvinder";0;0;0;1;0;0;0
"A-2023-0135";"A-2023-0135-PG1";"Mænd";0;0;2;0;0;0;0
"A-2023-0136";"A-2023-0136-PG1";"Mænd";0;0;25;0;0;0;0
"A-2023-0137";"A-2023-0137-PG1";"Mænd";0;0;0;1;3;1;0
"A-2023-0137";"A-2023-0137-PG2";"Kvinder";0;0;0;2;3;0;0
"A-2023-0138";"A-2023-0138-PG1";"Kvinder";0;0;0;0;1;0;0
"A-2023-0139";"A-2023-0139-PG1";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2023-0140";"A-2023-0140-PG1";"Kvinder";0;0;0;1;0;0;0
"A-2023-0141";"A-2023-0141-PG1";"Mænd";0;0;3;4;0;0;0
"A-2023-0141";"A-2023-0141-PG2";"Kvinder";0;0;3;3;2;0;0
"A-2023-0142";"A-2023-0142-PG1";"Mænd";0;0;0;0;0;0;0
"A-2023-0143";"A-2023-0143-PG1";"Mænd";0;0;0;0;1;1;0
"A-2023-0144";"A-2023-0144-PG1";"Kvinder";0;0;0;1;0;0;0
"A-2023-0144";"A-2023-0144-PG2";"Mænd";0;0;1;0;0;0;0
"A-2023-0145";"A-2023-0145-PG1";"Kvinder";0;0;0;1;0;0;0
"A-2023-0146";"A-2023-0146-PG1";"Mænd";0;1;0;0;0;0;0
"A-2023-0147";"A-2023-0147-PG1";"Ønsker ikke at besvare";0;0;1;3;1;1;0
"A-2023-0148";"A-2023-0148-PG1";"Mænd";0;0;0;0;2;2;0
"A-2023-0149";"A-2023-0149-PG1";"Mænd";0;0;0;0;1;0;0
"A-2023-0150";"A-2023-0150-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0151";"A-2023-0151-PG1";"Mænd";0;0;25;0;0;0;0
"A-2023-0151";"A-2023-0151-PG2";"Kvinder";0;0;29;0;0;0;0
"A-2023-0152";"A-2023-0152-PG1";"Ønsker ikke at besvare";0;0;1;0;0;0;0
"A-2023-0152";"A-2023-0152-PG2";"Mænd";0;1;1;0;0;1;0
"A-2023-0152";"A-2023-0152-PG3";"Kvinder";0;0;2;2;0;0;0
"A-2023-0153";"A-2023-0153-PG1";"Mænd";0;0;1;2;0;0;0
"A-2023-0153";"A-2023-0153-PG2";"Kvinder";0;0;0;1;0;0;0
"A-2023-0154";"A-2023-0154-PG1";"Mænd";0;0;0;1;1;0;0
"A-2023-0155";"A-2023-0155-PG1";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2023-0156";"A-2023-0156-PG1";"Kvinder";0;1;1;0;0;0;0
"A-2023-0157";"A-2023-0157-PG1";"Kvinder";0;0;0;1;0;0;0
"A-2023-0158";"A-2023-0158-PG1";"Mænd";0;0;0;0;1;0;0
"A-2023-0159";"A-2023-0159-PG1";"Mænd";0;0;0;0;1;0;0
"A-2023-0160";"A-2023-0160-PG1";"Mænd";0;0;0;1;2;0;0
"A-2023-0160";"A-2023-0160-PG2";"Kvinder";0;0;0;1;1;1;0
"A-2023-0161";"A-2023-0161-PG1";"Mænd";0;0;0;0;0;0;1
"A-2023-0161";"A-2023-0161-PG2";"Mænd";0;0;0;0;0;1;0
"A-2023-0162";"A-2023-0162-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0162";"A-2023-0162-PG2";"Kvinder";0;0;0;2;0;0;0
"A-2023-0163";"A-2023-0163-PG1";"Kvinder";0;0;0;4;0;0;2
"A-2023-0164";"A-2023-0164-PG1";"Non-binær";0;1;0;0;0;0;0
"A-2023-0164";"A-2023-0164-PG2";"Mænd";0;0;0;2;2;1;0
"A-2023-0164";"A-2023-0164-PG3";"Kvinder";0;0;0;3;1;0;0
"A-2023-0165";"A-2023-0165-PG1";"Kvinder";0;0;0;0;4;0;0
"A-2023-0166";"A-2023-0166-PG1";"Mænd";0;0;0;0;3;0;0
"A-2023-0166";"A-2023-0166-PG2";"Kvinder";0;0;0;3;1;0;0
"A-2023-0167";"A-2023-0167-PG1";"Kvinder";0;0;0;0;4;0;0
"A-2023-0168";"A-2023-0168-PG1";"Ønsker ikke at besvare";0;2;10;5;3;0;0
"A-2023-0169";"A-2023-0169-PG1";"Non-binær";0;1;1;0;0;0;0
"A-2023-0169";"A-2023-0169-PG2";"Mænd";0;1;0;1;0;0;0
"A-2023-0169";"A-2023-0169-PG3";"Kvinder";0;2;1;0;0;0;0
"A-2023-0170";"A-2023-0170-PG1";"Mænd";0;0;1;2;1;1;0
"A-2023-0171";"A-2023-0171-PG1";"Mænd";0;0;1;1;3;2;0
"A-2023-0171";"A-2023-0171-PG2";"Kvinder";0;0;0;1;1;1;0
"A-2023-0172";"A-2023-0172-PG1";"Non-binær";0;1;0;0;0;0;0
"A-2023-0173";"A-2023-0173-PG1";"Mænd";0;0;2;0;0;0;0
"A-2023-0173";"A-2023-0173-PG2";"Non-binær";0;0;1;0;0;0;0
"A-2023-0174";"A-2023-0174-PG1";"Mænd";0;0;2;0;0;0;0
"A-2023-0175";"A-2023-0175-PG1";"Kvinder";0;0;1;0;0;0;0
"A-2023-0176";"A-2023-0176-PG1";"Mænd";0;0;4;0;0;0;0
"A-2023-0176";"A-2023-0176-PG2";"Kvinder";0;1;1;4;0;0;0
"A-2023-0177";"A-2023-0177-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0177";"A-2023-0177-PG2";"Kvinder";0;0;1;2;0;0;0
"A-2023-0178";"A-2023-0178-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0179";"A-2023-0179-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0179";"A-2023-0179-PG2";"Kvinder";0;0;1;0;0;0;0
"A-2023-0180";"A-2023-0180-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0180";"A-2023-0180-PG2";"Mænd";0;0;0;1;0;0;0
"A-2023-0181";"A-2023-0181-PG1";"Mænd";0;0;0;1;1;0;0
"A-2023-0182";"A-2023-0182-PG1";"Kvinder";0;0;0;1;0;0;0
"A-2023-0182";"A-2023-0182-PG2";"Non-binær";0;0;0;1;0;0;0
"A-2023-0183";"A-2023-0183-PG1";"Mænd";0;1;3;4;0;0;0
"A-2023-0183";"A-2023-0183-PG2";"Kvinder";0;0;1;2;1;1;0
"A-2023-0184";"A-2023-0184-PG1";"Mænd";0;0;1;1;0;0;0
"A-2023-0184";"A-2023-0184-PG2";"Kvinder";0;0;2;1;0;0;0
"A-2023-0185";"A-2023-0185-PG1";"Kvinder";0;0;0;2;0;0;0
"A-2023-0185";"A-2023-0185-PG2";"Mænd";0;0;2;2;2;0;1
"A-2023-0186";"A-2023-0186-PG1";"Mænd";0;1;0;0;0;0;0
"A-2023-0186";"A-2023-0186-PG2";"Kvinder";0;1;2;0;0;0;0
"A-2023-0187";"A-2023-0187-PG1";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2023-0187";"A-2023-0187-PG2";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2023-0187";"A-2023-0187-PG3";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2023-0188";"A-2023-0188-PG1";"Mænd";0;0;0;0;0;1;0
"A-2023-0188";"A-2023-0188-PG2";"Kvinder";0;0;0;0;0;1;0
"A-2023-0189";"A-2023-0189-PG1";"Mænd";0;0;2;0;0;0;0
"A-2023-0189";"A-2023-0189-PG2";"Kvinder";0;2;0;0;0;0;0
"A-2023-0190";"A-2023-0190-PG1";"Mænd";0;0;0;0;0;1;0
"A-2023-0191";"A-2023-0191-PG1";"Non-binær";0;0;0;1;0;0;0
"A-2023-0192";"A-2023-0192-PG1";"Mænd";0;0;0;1;0;0;0
